click_time,ip,app,device,os,channel,is_fraud,is_attributed,attributed_time
2017-11-09 01:06:04,10114,6,1,22,233,0,0,
2017-11-07 15:00:16,10644,6,4,24,255,0,0,
2017-11-08 11:53:08,11197,15,5,24,145,0,1,2017-11-08 12:08:08
2017-11-10 08:12:38,10313,3,4,13,233,0,0,
2017-11-07 06:27:18,10023,2,5,20,145,0,0,
2017-11-11 18:37:38,10539,21,2,13,134,0,1,2017-11-11 19:45:38
2017-11-07 06:32:59,10001,24,3,26,111,0,0,
2017-11-11 12:42:52,10490,1,2,13,112,0,0,
2017-11-12 00:05:55,10262,18,5,17,134,0,0,
2017-11-11 21:19:28,10411,9,4,22,255,0,0,
2017-11-06 19:23:45,11134,6,5,19,111,0,0,
2017-11-11 12:33:13,10676,2,5,19,134,0,0,
2017-11-08 03:59:06,11180,18,2,26,233,0,0,
2017-11-09 20:39:51,10956,1,1,9,233,0,1,2017-11-09 21:37:51
2017-11-08 20:12:55,10287,15,2,20,255,0,0,
2017-11-08 16:32:10,11127,2,1,9,112,0,0,
2017-11-09 00:25:59,10120,3,4,9,233,0,0,
2017-11-08 11:26:03,11138,18,2,19,134,0,0,
2017-11-12 01:01:10,10117,1,5,26,303,0,0,
2017-11-07 08:44:56,10140,24,1,19,233,0,1,2017-11-07 08:55:56
2017-11-08 07:46:42,10858,24,5,22,134,0,0,
2017-11-11 05:08:39,10614,18,3,13,111,0,1,2017-11-11 05:36:39
2017-11-08 18:42:23,11036,9,2,22,112,0,0,
2017-11-09 09:45:59,10619,24,5,9,303,0,1,2017-11-09 10:00:59
2017-11-12 21:09:13,10219,21,2,20,134,0,0,
2017-11-07 01:12:40,10540,21,4,20,111,0,1,2017-11-07 01:29:40
2017-11-06 02:38:07,10536,3,4,24,303,0,0,
2017-11-07 10:48:02,11117,1,3,17,233,0,0,
2017-11-10 00:34:49,10081,12,2,19,112,0,0,
2017-11-06 06:46:11,10316,6,2,17,233,0,0,
2017-11-06 10:34:54,10508,9,2,13,233,0,0,
2017-11-08 04:44:25,10716,9,2,19,111,0,0,
2017-11-09 18:25:01,10571,12,5,24,303,0,1,2017-11-09 18:59:01
2017-11-09 13:39:27,10078,2,5,24,145,0,0,
2017-11-06 00:27:33,11180,6,3,9,233,0,0,
2017-11-09 13:43:42,10403,12,4,13,145,0,0,
2017-11-12 07:23:08,10633,15,3,24,134,0,0,
2017-11-12 05:37:53,10356,24,5,20,233,0,0,
2017-11-11 00:44:43,11187,24,3,26,255,0,0,
2017-11-08 16:08:43,10347,2,3,22,112,0,1,2017-11-08 16:14:43
2017-11-10 17:10:36,10501,18,5,13,255,0,0,
2017-11-08 11:45:11,10499,3,1,13,233,0,0,
2017-11-11 06:52:42,11141,6,1,26,113,0,0,
2017-11-11 01:45:57,10906,24,5,24,303,0,0,
2017-11-09 02:59:28,10506,9,5,26,121,0,0,
2017-11-08 15:08:24,10654,21,1,17,113,0,1,2017-11-08 16:01:24
2017-11-08 08:28:53,10677,21,4,24,111,0,0,
2017-11-10 00:03:19,10040,24,4,26,111,0,0,
2017-11-08 11:55:17,10858,21,5,19,255,1,0,
2017-11-12 01:51:01,10688,15,2,26,113,0,0,
2017-11-06 13:43:16,10171,15,2,26,113,0,0,
2017-11-11 08:25:01,10776,9,4,20,112,0,0,
2017-11-08 06:26:53,10459,2,1,9,121,0,1,2017-11-08 07:52:53
2017-11-10 04:43:10,10234,24,2,26,134,0,0,
2017-11-12 13:13:43,10335,9,1,9,134,0,0,
2017-11-09 10:21:54,10406,2,5,19,112,0,0,
2017-11-06 18:49:32,11159,1,3,24,145,1,0,
2017-11-11 05:32:45,10860,18,1,24,145,0,0,
2017-11-10 22:56:52,10553,24,5,26,255,0,0,
2017-11-12 11:36:39,10177,9,4,19,255,0,0,
2017-11-08 22:32:21,10665,3,4,19,145,0,0,
2017-11-08 17:54:46,11138,1,5,19,112,0,0,
2017-11-09 08:20:14,10975,18,4,9,112,0,0,
2017-11-12 06:17:21,10755,18,5,22,233,0,0,
2017-11-12 02:19:48,10472,2,2,22,112,0,0,
2017-11-08 05:00:18,10566,24,5,20,112,0,1,2017-11-08 06:09:18
2017-11-09 07:46:44,10259,9,1,9,303,0,0,
2017-11-11 10:43:28,10210,1,5,20,255,0,0,
2017-11-06 20:13:36,10978,2,1,24,255,1,0,
2017-11-07 08:20:35,10305,24,3,13,121,0,0,
2017-11-09 09:11:55,10462,21,4,26,255,0,0,
2017-11-09 00:15:42,10123,24,1,19,121,0,0,
2017-11-09 07:31:02,10320,1,4,26,255,0,0,
2017-11-10 20:05:07,10929,2,2,20,121,0,0,
2017-11-12 18:29:47,10291,2,1,17,134,0,0,
2017-11-12 03:27:31,10959,9,4,20,303,0,0,
2017-11-08 14:30:43,10660,24,3,9,112,0,0,
2017-11-11 21:42:41,10551,24,1,17,255,0,0,
2017-11-10 15:30:21,10892,18,1,26,145,0,1,2017-11-10 16:23:21
2017-11-07 00:02:20,11014,9,4,9,255,0,0,
2017-11-06 14:48:12,11053,1,5,26,233,0,0,
2017-11-07 11:46:59,10905,1,2,20,303,0,0,
2017-11-12 06:24:00,10059,24,2,17,134,0,0,
2017-11-09 07:41:32,10232,18,1,17,255,0,0,
2017-11-08 04:02:58,10967,6,4,17,233,0,1,2017-11-08 04:11:58
2017-11-09 05:14:46,10565,15,3,20,111,0,0,
2017-11-09 18:46:35,11002,3,4,26,145,0,0,
2017-11-10 16:10:02,10386,6,5,24,121,0,0,
2017-11-07 10:28:32,10780,15,2,26,111,0,1,2017-11-07 11:25:32
2017-11-10 15:57:55,10204,21,4,9,113,0,0,
2017-11-09 17:43:54,10542,12,5,24,112,0,0,
2017-11-09 06:28:14,10999,21,1,13,121,0,1,2017-11-09 07:50:14
2017-11-06 12:33:20,10205,18,2,20,111,0,0,
2017-11-07 22:25:11,10298,6,5,24,113,0,0,
2017-11-11 05:55:40,10493,18,5,17,121,0,1,2017-11-11 06:55:40
2017-11-09 22:21:37,10589,21,2,13,255,0,0,
2017-11-07 05:07:15,10935,9,2,24,255,0,0,
2017-11-12 10:32:55,10604,1,4,20,111,0,1,2017-11-12 11:50:55
2017-11-08 03:55:39,11017,9,2,22,121,0,0,
2017-11-06 09:06:37,10280,2,1,20,255,0,0,
2017-11-12 03:17:56,10669,15,2,19,113,0,0,
2017-11-07 07:26:29,10336,9,4,20,145,0,0,
2017-11-06 03:48:16,10813,21,3,13,233,0,0,
2017-11-08 15:50:30,10536,24,4,22,112,0,0,
2017-11-07 07:51:08,10453,2,4,20,233,1,0,
2017-11-07 13:02:24,11008,2,1,19,303,0,0,
2017-11-07 03:02:53,11106,15,5,17,233,0,0,
2017-11-08 16:28:54,10067,12,2,26,255,0,0,
2017-11-07 09:21:54,10734,1,4,20,121,0,1,2017-11-07 10:43:54
2017-11-12 10:10:13,10043,1,3,19,113,0,1,2017-11-12 10:38:13
2017-11-07 15:30:08,10477,12,2,9,134,0,1,2017-11-07 15:34:08
2017-11-06 04:18:11,10269,1,3,19,145,0,0,
2017-11-11 20:08:37,10232,2,4,26,145,0,0,
2017-11-06 16:36:54,10088,21,3,26,111,0,0,
2017-11-06 17:56:08,10908,2,1,22,113,0,0,
2017-11-11 18:02:38,10665,15,5,20,255,0,1,2017-11-11 19:26:38
2017-11-10 16:59:21,11129,6,4,26,121,0,0,
2017-11-07 17:40:43,10640,15,3,20,145,0,0,
2017-11-12 07:55:03,10190,15,1,22,113,0,0,
2017-11-09 06:32:38,10250,15,3,24,111,0,0,
2017-11-12 07:53:23,10316,18,2,13,145,0,1,2017-11-12 08:48:23
2017-11-06 07:54:11,11148,24,5,9,134,0,0,
2017-11-06 19:00:09,10718,1,2,17,233,0,1,2017-11-06 20:08:09
2017-11-07 18:58:46,10440,15,4,26,145,0,0,
2017-11-09 02:18:28,10107,3,2,9,112,0,0,
2017-11-10 21:23:07,10559,6,5,13,145,0,0,
2017-11-06 02:05:13,10631,1,2,24,111,0,1,2017-11-06 02:38:13
2017-11-06 06:29:34,10592,12,1,9,255,0,0,
2017-11-06 05:07:29,10725,2,4,9,233,0,0,
2017-11-10 14:36:01,11174,15,4,20,112,0,0,
2017-11-08 18:26:27,10942,12,1,24,112,0,0,
2017-11-06 20:51:32,10635,12,2,22,113,0,1,2017-11-06 21:36:32
2017-11-08 21:53:12,10719,3,2,13,113,0,0,
2017-11-12 10:08:41,10154,3,4,26,255,0,0,
2017-11-11 00:45:40,10647,3,4,13,255,0,1,2017-11-11 01:50:40
2017-11-06 15:32:23,10151,9,4,26,111,0,0,
2017-11-12 14:28:35,10184,24,5,24,255,0,1,2017-11-12 15:42:35
2017-11-07 17:11:03,10385,12,5,26,303,0,0,
2017-11-10 23:32:28,10172,21,2,9,121,0,0,
2017-11-09 19:22:04,10579,15,4,22,111,0,0,
2017-11-12 15:07:42,10516,24,2,22,112,0,0,
2017-11-12 08:37:24,10802,3,5,13,134,0,1,2017-11-12 10:07:24
2017-11-10 03:00:19,11078,2,4,22,111,0,0,
2017-11-06 21:04:18,10995,6,2,17,113,0,0,
2017-11-07 18:07:10,11078,1,3,17,233,0,0,
2017-11-08 16:51:28,10339,18,1,24,145,0,0,
2017-11-08 04:58:23,10479,21,2,20,255,0,0,
2017-11-08 06:31:51,10577,15,5,24,113,0,1,2017-11-08 07:33:51
2017-11-06 22:54:48,10760,21,1,13,134,0,0,
2017-11-06 07:16:26,10895,2,2,26,145,0,1,2017-11-06 07:27:26
2017-11-09 19:33:50,10767,6,1,22,112,0,0,
2017-11-06 21:38:01,10967,3,4,26,111,0,0,
2017-11-09 10:14:07,11080,15,1,20,121,0,0,
2017-11-06 04:29:40,10936,2,1,26,303,0,1,2017-11-06 05:24:40
2017-11-08 03:08:42,10003,24,3,19,233,0,0,
2017-11-11 08:22:02,11077,21,5,9,233,0,0,
2017-11-07 04:18:49,10033,12,1,22,121,0,1,2017-11-07 05:04:49
2017-11-08 01:46:51,11118,12,2,26,255,0,0,
2017-11-06 11:26:20,10075,9,2,9,121,0,0,
2017-11-09 06:07:22,11112,18,3,9,121,0,0,
2017-11-11 00:04:57,10559,2,3,24,233,0,1,2017-11-11 01:33:57
2017-11-10 19:55:05,11018,12,5,20,112,0,1,2017-11-10 20:33:05
2017-11-09 11:41:28,10657,2,1,22,134,0,0,
2017-11-09 02:58:40,10719,18,1,22,233,0,1,2017-11-09 04:20:40
2017-11-07 14:59:54,10831,12,5,17,111,0,1,2017-11-07 15:08:54
2017-11-12 21:13:09,10483,12,3,24,111,0,0,
2017-11-09 13:50:41,10157,24,2,22,233,0,1,2017-11-09 14:14:41
2017-11-08 23:04:45,11022,21,4,13,134,0,0,
2017-11-11 03:26:11,11005,6,1,17,112,0,1,2017-11-11 04:54:11
